pagecount_all_views,month,year,pagecount_desktop_views,pagecount_mobile_views,pageview_mobile_views,pageview_desktop_views,pageview_all_views
2998331524,12,2007,2998331524,0,0,0,0
4930902570,1,2008,4930902570,0,0,0,0
4818393763,2,2008,4818393763,0,0,0,0
4955405809,3,2008,4955405809,0,0,0,0
5159162183,4,2008,5159162183,0,0,0,0
5584691092,5,2008,5584691092,0,0,0,0
5712104279,6,2008,5712104279,0,0,0,0
5306302874,7,2008,5306302874,0,0,0,0
5140155519,8,2008,5140155519,0,0,0,0
5479533823,9,2008,5479533823,0,0,0,0
5679440782,10,2008,5679440782,0,0,0,0
5415832071,11,2008,5415832071,0,0,0,0
5211708451,12,2008,5211708451,0,0,0,0
5802681551,1,2009,5802681551,0,0,0,0
5547320860,2,2009,5547320860,0,0,0,0
6295159057,3,2009,6295159057,0,0,0,0
5988817321,4,2009,5988817321,0,0,0,0
6267516733,5,2009,6267516733,0,0,0,0
5818924182,6,2009,5818924182,0,0,0,0
5801646978,7,2009,5801646978,0,0,0,0
5790850384,8,2009,5790850384,0,0,0,0
4057515768,9,2009,4057515768,0,0,0,0
6016107147,10,2009,6016107147,0,0,0,0
5768486910,11,2009,5768486910,0,0,0,0
5426505977,12,2009,5426505977,0,0,0,0
5703465285,1,2010,5703465285,0,0,0,0
5762451418,2,2010,5762451418,0,0,0,0
6661347946,3,2010,6661347946,0,0,0,0
6618552152,4,2010,6618552152,0,0,0,0
6410578775,5,2010,6410578775,0,0,0,0
4898035014,6,2010,4898035014,0,0,0,0
5296177638,7,2010,5296177638,0,0,0,0
7381346660,8,2010,7381346660,0,0,0,0
7546488744,9,2010,7546488744,0,0,0,0
10172844562,10,2010,10172844562,0,0,0,0
6948678354,11,2010,6948678354,0,0,0,0
7001952100,12,2010,7001952100,0,0,0,0
7568511227,1,2011,7568511227,0,0,0,0
6906248849,2,2011,6906248849,0,0,0,0
7326545928,3,2011,7326545928,0,0,0,0
6835492088,4,2011,6835492088,0,0,0,0
7009799378,5,2011,7009799378,0,0,0,0
6536675534,6,2011,6536675534,0,0,0,0
6571730164,7,2011,6571730164,0,0,0,0
6514500361,8,2011,6514500361,0,0,0,0
5837738935,9,2011,5837738935,0,0,0,0
6974424665,10,2011,6974424665,0,0,0,0
7507641641,11,2011,7507641641,0,0,0,0
6396357939,12,2011,6396357939,0,0,0,0
7808477339,1,2012,7808477339,0,0,0,0
7530127141,2,2012,7530127141,0,0,0,0
7358543625,3,2012,7358543625,0,0,0,0
7220029422,4,2012,7220029422,0,0,0,0
7784479302,5,2012,7784479302,0,0,0,0
7524265988,6,2012,7524265988,0,0,0,0
7819376527,7,2012,7819376527,0,0,0,0
7885641059,8,2012,7885641059,0,0,0,0
7913689733,9,2012,7913689733,0,0,0,0
8379960050,10,2012,8379960050,0,0,0,0
8219987195,11,2012,8219987195,0,0,0,0
8033826900,12,2012,8033826900,0,0,0,0
9126210673,1,2013,9126210673,0,0,0,0
8100597857,2,2013,8100597857,0,0,0,0
8701419671,3,2013,8701419671,0,0,0,0
8049296729,4,2013,8049296729,0,0,0,0
8089099883,5,2013,8089099883,0,0,0,0
7759959725,6,2013,7759959725,0,0,0,0
8237301982,7,2013,8237301982,0,0,0,0
9306122925,8,2013,9306122925,0,0,0,0
9985326806,9,2013,9985326806,0,0,0,0
10775158269,10,2013,10775158269,0,0,0,0
10414877805,11,2013,10414877805,0,0,0,0
7102459747,12,2013,7102459747,0,0,0,0
7026531269,1,2014,7026531269,0,0,0,0
6718243109,2,2014,6718243109,0,0,0,0
7464128273,3,2014,7464128273,0,0,0,0
7216245221,4,2014,7216245221,0,0,0,0
7543277646,5,2014,7543277646,0,0,0,0
6577352648,6,2014,6577352648,0,0,0,0
6761059566,7,2014,6761059566,0,0,0,0
6687313714,8,2014,6687313714,0,0,0,0
7564600999,9,2014,7564600999,0,0,0,0
9669079813,10,2014,6577533128,3091546685,0,0,0
9181027274,11,2014,6153537606,3027489668,0,0,0
9109282269,12,2014,5830332248,3278950021,0,0,0
9589069146,1,2015,6103767055,3485302091,0,0,0
8694244918,2,2015,5602710439,3091534479,0,0,0
9677435301,3,2015,6346602713,3330832588,0,0,0
9421035574,4,2015,6198945657,3222089917,0,0,0
9657871297,5,2015,6323801814,3334069483,0,0,0
8203576103,6,2015,5165413640,3038162463,0,0,0
8483698717,7,2015,5229226022,3254472695,109624146,3179131148,3288755294
8304022031,8,2015,5035534449,3268487582,109669149,3192663889,3302333038
8582061182,9,2015,5409631355,3172429827,96221684,3073981649,3170203333
8781786976,10,2015,5535704471,3246082505,94523777,3173975355,3268499132
8515190628,11,2015,5296956116,3218234512,94353925,3142247145,3236601070
8651858036,12,2015,5264446173,3387411863,99438956,3276836351,3376275307
9309261244,1,2016,5569632502,3739628742,106432767,3611404079,3717836846
8680940753,2,2016,5347709361,3333231392,92414130,3242448142,3334862272
8827529692,3,2016,5407676056,3419853636,97899074,3288785117,3386684191
8873620523,4,2016,5572235399,3301385124,81719003,3177044999,3258764002
8748968139,5,2016,5330532334,3418435805,98738513,3296294723,3395033236
8347710510,6,2016,4975092447,3372618063,96908466,3257882479,3354790945
0,7,2016,0,0,101398640,3395175122,3496573762
0,8,2016,0,0,97172509,3418646794,3515819303
0,9,2016,0,0,83037939,3310247842,3393285781
0,10,2016,0,0,67174886,3442109005,3509283891
0,11,2016,0,0,83623769,3507421156,3591044925
0,12,2016,0,0,128976033,3647567822,3776543855
0,1,2017,0,0,211813191,4020148351,4231961542
0,2,2017,0,0,189059134,3522702265,3711761399
0,3,2017,0,0,184098693,3719395296,3903493989
0,4,2017,0,0,115051969,3524571150,3639623119
0,5,2017,0,0,118805669,3567882051,3686687720
0,6,2017,0,0,115285847,3404097346,3519383193
0,7,2017,0,0,124118219,3600941034,3725059253
0,8,2017,0,0,119171796,3502234506,3621406302
0,9,2017,0,0,114615188,3416989181,3531604369
0,10,2017,0,0,115580485,3557540057,3673120542
0,11,2017,0,0,112953288,3557058773,3670012061
0,12,2017,0,0,121007315,3709128989,3830136304
0,1,2018,0,0,129767843,4129514528,4259282371
0,2,2018,0,0,112583110,3613097618,3725680728
0,3,2018,0,0,121792838,3928081419,4049874257
0,4,2018,0,0,119494176,3807903935,3927398111
0,5,2018,0,0,127894954,3961293568,4089188522
0,6,2018,0,0,124837607,3852929134,3977766741
0,7,2018,0,0,134236905,4131876847,4266113752
0,8,2018,0,0,131441105,4055921056,4187362161
0,9,2018,0,0,123299034,3853821210,3977120244
0,10,2018,0,0,125394463,3948395290,4073789753
0,11,2018,0,0,123741294,3909638746,4033380040
0,12,2018,0,0,134493010,4154561156,4289054166
0,1,2019,0,0,141789448,4455807733,4597597181
0,2,2019,0,0,123578688,3894531307,4018109995
0,3,2019,0,0,134970454,4272319868,4407290322
0,4,2019,0,0,128101103,4133563063,4261664166
0,5,2019,0,0,135060026,4278706204,4413766230
0,6,2019,0,0,132861082,4153124189,4285985271
0,7,2019,0,0,141040639,4416225801,4557266440
0,8,2019,0,0,141066972,4390689571,4531756543
